idrbd,dnino,dnina,bpnino,bpnina,nnino,nnina,snino,snina,onino,onina,rtnino,rtnina,tnino,tnina,total
97,1,1,2,3,21,31,13,19,10,6,3,6,47,60,107
103,0,0,3,1,6,8,6,4,4,0,0,0,19,13,32
106,2,0,1,0,14,5,12,8,2,0,3,0,31,13,44
107,2,0,8,4,36,31,13,20,10,9,3,6,69,64,133
108,2,1,6,4,23,29,8,13,7,7,4,2,46,54,100
109,0,0,2,0,13,14,4,6,8,2,2,4,27,22,49
110,2,0,0,2,16,14,10,17,1,4,0,4,29,37,66
124,4,0,4,4,56,63,47,40,44,33,18,10,155,140,295
125,3,1,2,3,21,23,11,3,4,3,1,1,41,33,74
127,0,0,0,3,0,48,0,22,0,10,0,1,0,83,83
129,0,0,1,1,7,2,2,4,1,2,0,1,11,9,20
130,0,0,1,1,9,10,5,2,3,0,0,0,18,13,31
131,2,1,3,2,8,8,5,2,3,3,1,0,21,16,37
132,0,0,7,6,53,75,13,28,7,11,2,2,80,120,200
133,1,0,3,1,4,7,5,9,7,5,1,1,20,22,42
134,0,1,1,0,11,12,5,3,0,1,0,0,17,17,34
144,3,0,1,1,5,7,3,6,1,5,1,2,13,19,32
10901,0,0,0,2,12,10,8,4,3,2,0,0,23,18,41
12504,3,0,4,0,12,25,2,13,3,2,0,0,24,40,64
12509,2,1,2,2,11,25,7,11,5,4,0,0,27,43,70
12515,0,0,2,2,9,10,5,7,1,0,0,0,17,19,36
12518,1,0,5,3,28,21,11,10,3,5,2,0,48,39,87
12573,0,0,2,4,15,13,11,12,11,7,0,1,39,36,75
12590,1,0,0,1,1,12,6,3,5,2,0,0,13,18,31
12591,0,0,4,5,22,21,18,11,6,14,1,1,50,51,101
12594,1,0,3,0,6,8,2,4,3,2,0,0,15,14,29
12604,2,0,4,2,14,15,4,12,2,3,0,1,26,32,58
12631,2,1,6,3,18,32,21,24,12,14,0,3,59,74,133
12667,2,3,6,5,25,32,13,17,9,8,1,0,55,65,120
12669,0,0,8,2,20,19,13,13,3,3,0,4,44,37,81
12672,1,0,4,0,46,0,17,0,4,0,2,0,72,0,72
12683,0,0,0,0,17,4,3,3,3,0,3,2,23,7,30
12735,0,0,1,3,16,13,10,14,6,2,0,0,33,32,65
12741,1,0,1,2,5,1,4,5,4,2,1,0,15,10,25
12762,0,0,2,1,11,8,3,2,3,1,0,0,19,12,31
40295,0,0,1,2,20,13,15,12,8,3,1,1,44,30,74
40320,0,0,1,1,21,25,16,25,6,6,0,0,44,57,101
10917,3,0,0,0,33,31,34,16,13,6,2,2,83,53,136
12534,0,0,4,2,34,47,26,31,20,19,9,8,84,99,183
12566,0,0,4,2,39,34,21,23,17,15,9,5,81,74,155
12602,1,0,3,0,14,7,13,9,7,1,1,1,38,17,55
12603,2,0,4,1,24,22,9,21,7,9,1,1,46,53,99
12605,1,0,1,0,17,20,18,16,6,9,2,1,43,45,88
12632,0,0,2,2,18,25,14,7,4,2,4,1,38,36,74
12649,0,0,1,2,20,26,19,18,16,19,2,2,56,65,121
12650,0,0,14,11,58,77,39,57,33,16,7,14,144,161,305
12652,1,0,12,11,43,36,14,3,1,2,1,0,71,52,123
12655,0,0,2,0,15,17,13,10,7,4,2,0,37,31,68
12686,2,1,3,1,11,10,4,10,4,5,0,0,24,27,51
12719,0,1,2,1,13,11,6,8,4,3,1,0,25,24,49
12747,1,0,3,2,13,10,11,3,6,10,3,0,34,25,59
12749,2,0,3,1,17,16,8,7,10,1,1,1,40,25,65
40399,0,0,4,1,5,4,3,1,0,1,0,1,12,7,19
40422,1,0,0,1,18,5,8,9,10,3,0,1,37,18,55
191,0,0,7,1,34,31,22,34,19,15,6,6,82,81,163
12759,0,0,2,0,4,3,3,3,1,0,1,1,10,6,16
178,0,0,0,0,3,4,2,2,0,0,0,2,5,6,11
161,0,0,1,1,6,6,3,0,1,1,0,1,11,8,19
12551,1,1,4,1,21,11,14,24,6,5,1,1,46,42,88
279,8,1,28,5,189,49,109,41,59,12,14,3,393,108,501
280,6,3,22,9,98,86,47,60,30,29,14,4,203,187,390
283,3,3,2,21,34,151,16,75,8,40,6,13,63,290,353
284,2,0,9,1,45,30,25,20,11,10,5,1,92,61,153
285,0,1,4,0,36,37,19,27,16,13,4,4,75,78,153
286,2,0,5,1,45,60,30,24,12,21,3,3,94,106,200
287,6,0,11,13,47,82,29,48,21,24,2,3,114,167,281
304,0,2,7,5,20,42,15,20,13,16,1,3,55,85,140
320,0,0,5,1,22,20,9,13,9,7,1,0,45,41,86
329,0,0,2,2,9,9,5,3,4,0,1,0,20,14,34
335,0,0,1,2,6,3,6,2,4,3,0,0,17,10,27
336,0,0,0,0,29,38,13,16,5,7,2,1,47,61,108
337,0,0,5,2,21,11,10,12,4,3,0,0,40,28,68
341,1,1,4,6,13,17,11,11,5,6,2,2,34,41,75
342,2,0,5,4,41,53,18,24,5,7,1,1,71,88,159
344,0,0,0,0,6,15,5,17,6,5,1,0,17,37,54
350,1,1,4,4,12,29,5,10,2,3,0,0,24,47,71
356,0,0,3,3,18,16,7,15,9,5,2,1,37,39,76
365,1,1,3,0,20,21,10,12,6,3,0,0,40,37,77
10968,5,0,5,4,69,35,43,18,24,15,2,0,146,72,218
12800,0,0,0,0,12,7,2,5,2,5,0,3,16,17,33
12802,0,0,0,0,0,20,0,19,0,6,0,3,0,45,45
12830,1,0,3,5,30,34,10,26,10,15,2,5,54,80,134
12837,0,0,0,2,3,14,2,7,5,4,0,0,10,27,37
12855,2,0,3,2,9,18,14,17,6,10,0,1,34,47,81
12868,0,0,1,3,6,14,1,11,6,5,2,2,14,33,47
12885,2,0,1,1,31,26,19,19,9,7,4,0,62,53,115
12891,2,0,4,2,27,33,5,27,11,14,0,2,49,76,125
12935,0,1,1,1,16,24,16,8,6,6,1,1,39,40,79
12943,3,0,14,0,76,0,56,0,47,0,2,0,196,0,196
12958,1,0,4,2,5,11,2,4,2,1,1,1,14,18,32
12963,2,0,2,7,21,32,7,15,2,1,1,0,34,55,89
12970,3,1,1,2,8,13,7,11,4,2,0,0,23,29,52
12977,1,0,5,2,9,21,8,16,4,5,0,2,27,44,71
31340,3,0,3,2,29,39,23,27,9,6,2,0,67,74,141
31342,0,1,0,2,5,9,5,2,2,5,0,1,12,19,31
31343,0,0,2,4,29,30,20,28,6,8,2,2,57,70,127
31345,2,1,7,1,59,40,37,15,33,16,6,1,138,73,211
367,0,1,7,2,46,37,23,27,19,12,3,4,95,79,174
371,0,0,0,0,4,1,3,0,0,0,1,0,7,1,8
372,1,0,2,0,23,16,8,18,21,12,2,1,55,46,101
373,0,2,2,0,17,20,15,25,5,9,0,1,39,56,95
217,5,1,10,15,73,99,23,55,11,12,3,7,122,182,304
218,0,0,7,0,23,35,15,18,12,12,6,1,57,65,122
219,4,1,17,2,82,50,33,28,21,10,3,4,157,91,248
220,5,1,12,7,83,58,49,31,18,20,7,5,167,117,284
253,0,0,3,1,18,13,10,13,10,6,2,1,41,33,74
254,0,1,0,6,0,38,0,12,0,10,0,2,0,67,67
255,0,1,5,4,15,19,10,16,5,5,0,1,35,45,80
256,0,0,6,1,33,36,21,19,3,8,2,2,63,64,127
10962,0,0,9,4,24,33,12,17,7,3,0,2,52,57,109
10967,0,0,4,3,45,48,27,31,14,17,5,7,90,99,189
10970,1,2,9,9,54,71,28,61,19,15,10,5,111,158,269
12823,0,1,3,1,6,9,4,3,4,2,0,0,17,16,33
12836,1,0,1,0,22,16,9,8,8,7,2,3,41,31,72
12838,0,0,4,1,15,10,7,11,8,5,0,0,34,27,61
12851,1,0,1,0,12,11,5,9,3,3,0,0,22,23,45
12853,0,0,5,2,11,24,7,9,6,3,0,0,29,38,67
12961,0,0,3,2,23,17,10,9,5,4,3,0,41,32,73
12980,0,1,4,2,31,30,11,20,5,11,3,4,51,64,115
20478,0,0,6,4,50,41,25,18,13,5,2,0,94,68,162
31339,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
270,0,0,0,1,6,6,1,7,0,2,0,1,7,16,23
12842,1,0,4,2,27,13,2,9,9,3,2,0,43,27,70
199,1,0,5,1,32,33,17,29,20,18,3,4,75,81,156
200,1,0,5,1,46,42,16,21,21,14,2,6,89,78,167
208,1,0,6,4,25,29,19,21,7,5,5,0,58,59,117
211,2,0,6,1,11,14,9,10,5,8,0,0,33,33,66
396,1,0,10,7,48,51,15,31,23,21,2,2,97,110,207
399,1,0,4,5,90,93,52,55,32,29,9,7,179,182,361
400,0,1,3,2,34,58,23,39,11,16,1,4,71,116,187
415,1,0,2,1,19,18,16,11,10,8,0,0,48,38,86
429,2,1,5,5,44,36,17,22,10,9,0,3,78,73,151
430,0,0,0,6,0,28,0,24,0,19,0,3,0,77,77
431,0,0,0,2,0,44,0,18,0,13,0,4,0,77,77
433,0,0,0,1,20,19,11,10,9,14,4,0,40,44,84
437,1,1,11,6,94,75,56,39,24,14,6,4,186,135,321
13112,0,2,7,3,29,32,18,16,14,3,0,2,68,56,124
13145,5,0,2,3,60,46,38,34,26,17,5,7,131,100,231
13146,3,0,9,0,75,0,49,0,52,0,1,0,188,0,188
13156,6,3,13,8,36,50,24,30,17,22,2,3,96,113,209
13168,0,1,4,3,16,11,10,16,13,7,1,2,43,38,81
13183,0,0,0,0,0,1,1,0,0,0,1,0,1,1,2
13188,1,0,5,2,5,2,5,3,4,0,0,0,20,7,27
13190,0,0,1,1,17,14,3,6,3,2,0,0,24,23,47
438,0,0,2,0,28,18,19,11,7,8,1,2,56,37,93
440,0,0,1,1,19,36,21,15,2,5,3,0,43,57,100
13103,0,0,2,0,3,4,4,5,1,2,0,0,10,11,21
441,0,0,0,0,9,6,4,5,0,1,1,0,13,12,25
11034,0,0,5,1,33,26,20,18,22,9,2,3,80,54,134
379,1,0,6,2,47,53,39,35,20,15,5,2,113,105,218
13178,0,0,2,0,8,5,4,0,4,1,0,0,18,6,24
384,0,0,2,3,32,35,14,28,17,5,2,6,65,71,136
392,0,0,3,3,34,34,17,21,7,10,4,0,61,68,129
448,2,0,6,5,51,48,19,28,15,19,5,2,93,100,193
449,0,0,4,3,40,9,40,15,27,5,1,0,111,32,143
478,0,0,4,3,18,30,7,13,7,5,2,1,36,51,87
479,3,0,7,2,33,37,16,22,9,3,0,0,68,64,132
13185,0,1,1,4,37,40,27,47,12,16,3,2,77,108,185
13202,1,0,2,4,11,28,13,11,5,9,2,0,32,52,84
40340,0,0,4,3,15,14,8,7,8,7,1,2,35,31,66
11038,0,0,2,3,23,26,11,20,7,5,1,1,43,54,97
486,0,0,3,1,35,15,27,15,20,9,3,0,85,40,125
516,0,0,6,3,33,65,11,20,8,14,6,2,58,102,160
517,1,0,5,0,34,36,22,25,8,9,1,4,70,70,140
518,0,2,0,6,1,53,0,67,0,25,1,10,1,153,154
526,0,0,2,1,10,14,4,6,0,5,1,1,16,26,42
530,6,0,9,4,31,22,13,9,11,5,0,1,70,40,110
531,0,0,2,0,6,6,5,3,2,3,1,1,15,12,27
535,0,0,3,1,13,11,5,5,2,1,0,0,23,18,41
565,0,0,3,2,13,7,3,6,4,3,0,0,23,18,41
567,1,0,5,6,19,23,3,15,2,7,0,2,30,51,81
568,2,0,1,1,7,11,4,7,2,2,1,1,16,21,37
570,0,1,2,0,3,11,5,10,5,2,0,0,15,24,39
573,0,1,1,0,18,21,9,16,7,3,0,1,35,41,76
574,6,0,16,0,100,0,59,0,24,0,7,0,205,0,205
575,0,1,0,1,0,73,0,60,0,26,0,3,0,161,161
578,1,0,3,1,15,9,13,11,8,3,1,1,40,24,64
579,0,1,4,1,33,27,16,19,12,5,2,3,65,53,118
580,0,1,4,2,36,35,15,27,8,5,0,2,63,70,133
581,0,0,2,0,13,17,5,5,2,2,0,0,22,24,46
582,1,0,3,1,19,18,2,19,8,1,1,1,33,39,72
583,0,1,2,0,14,18,3,15,2,10,1,0,21,44,65
589,0,0,0,0,10,5,2,2,2,1,0,0,14,8,22
590,0,1,1,1,11,22,8,13,7,2,0,0,27,39,66
11155,0,0,5,1,67,34,31,12,10,2,4,0,113,49,162
