Código Establecimiento,Nombre Establecimiento,Dependencia Establecimiento,Nombre Región,Nombre Comuna,Área Geográfica,Niños con Desnutrición,Prevalencia Desnutrición niños,Niñas con Desnutrición,Prevalencia Desnutrición niñas,Niños con Bajo Peso,Prevalencia Bajo Peso niños,Niñas con Bajo Peso,Prevalencia Bajo Peso niñas,Niños con Peso Normal,Prevalencia Peso Normal niños,Niñas con Peso Normal,Prevalencia Peso Normal niñas,Niños con Sobrepeso,Prevalencia Sobrepeso niños,Niñas con Sobrepeso,Prevalencia Sobrepeso niñas,Niños con Obesidad,Prevalencia Obesidad niños,Niñas con Obesidad,Prevalencia Obesidad niñas,Niños con Retraso en Talla,Prevalencia Retraso en talla niños,Niñas con Retraso en talla,Prevalencia Retraso en talla niñas,Total Niños,Total Niñas
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,MUNICIPAL,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",1,"0,03",1,"0,02",16,"0,47",40,"0,74",12,"0,35",10,"0,19",5,"0,15",3,"0,06",3,"0,09",0,"0,00",34,54
103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,MUNICIPAL,Tarapacá,IQUIQUE,URBANO,1,"0,08",0,"0,00",0,"0,00",0,"0,00",5,"0,42",13,"0,59",4,"0,33",4,"0,18",2,"0,17",5,"0,23",2,"0,17",2,"0,09",12,22
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",0,"0,00",0,"0,00",22,"0,38",16,"0,50",36,"0,62",16,"0,50",0,"0,00",0,"0,00",2,"0,03",0,"0,00",58,32
107,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,MUNICIPAL,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",1,"0,02",3,"0,04",33,"0,56",41,"0,49",16,"0,27",31,"0,37",9,"0,15",8,"0,10",2,"0,03",3,"0,04",59,83
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,MUNICIPAL,Tarapacá,IQUIQUE,URBANO,1,"0,02",1,"0,02",4,"0,07",5,"0,12",30,"0,56",24,"0,56",13,"0,24",10,"0,23",6,"0,11",3,"0,07",3,"0,06",3,"0,07",54,43
109,LICEO ELENA DUVAUCHELLE CABEZON,MUNICIPAL,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",4,"0,14",1,"0,04",15,"0,54",17,"0,63",5,"0,18",6,"0,22",4,"0,14",3,"0,11",2,"0,07",2,"0,07",28,27
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,MUNICIPAL,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",1,"0,03",0,"0,00",17,"0,46",22,"0,47",16,"0,43",25,"0,53",3,"0,08",0,"0,00",0,"0,00",0,"0,00",37,47
124,LICEO LUIS CRUZ MARTINEZ,MUNICIPAL,Tarapacá,IQUIQUE,URBANO,1,"0,01",1,"0,01",9,"0,05",9,"0,05",86,"0,48",88,"0,53",57,"0,31",48,"0,29",28,"0,15",20,"0,12",9,"0,05",9,"0,05",181,166
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,MUNICIPAL,Tarapacá,IQUIQUE,URBANO,1,"0,04",0,"0,00",2,"0,08",2,"0,08",12,"0,46",13,"0,50",6,"0,23",5,"0,19",5,"0,19",6,"0,23",0,"0,00",0,"0,00",26,26
127,LICEO MARIA AUXILIADORA,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,0,1,"0,02",0,0,2,"0,03",0,0,36,"0,58",0,0,16,"0,26",0,0,7,"0,11",0,0,2,"0,03",0,62
129,LICEO SUPERIOR GABRIELA MISTRAL,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",2,"0,13",0,"0,00",7,"0,47",9,"0,69",4,"0,27",2,"0,15",2,"0,13",2,"0,15",3,"0,20",1,"0,08",15,13
130,COLEGIO NORTH COLLEGE,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",0,"0,00",2,"0,15",7,"0,50",8,"0,62",6,"0,43",3,"0,23",1,"0,07",0,"0,00",0,"0,00",0,"0,00",14,13
131,LICEO PARTICULAR MIXTO ESCASCE,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",1,"0,08",0,"0,00",2,"0,15",10,"0,59",7,"0,54",5,"0,29",2,"0,15",2,"0,12",1,"0,08",0,"0,00",1,"0,08",17,13
132,LICEO ACADEMIA IQUIQUE,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",3,"0,04",0,"0,00",30,"0,43",37,"0,50",24,"0,34",30,"0,41",13,"0,19",7,"0,09",1,"0,01",1,"0,01",70,74
133,COLEGIO ADVENTISTA DE IQUIQUE,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",1,"0,05",1,"0,05",9,"0,41",13,"0,68",11,"0,50",4,"0,21",1,"0,05",1,"0,05",0,"0,00",1,"0,05",22,19
134,LICEO ATENEA,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,06",13,"0,72",6,"0,33",4,"0,22",8,"0,44",1,"0,06",3,"0,17",1,"0,06",2,"0,11",18,18
144,COLEGIO IQUIQUE YOUNG SCHOOL,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",1,"0,06",0,"0,00",5,"0,31",6,"0,50",6,"0,38",3,"0,25",4,"0,25",3,"0,25",0,"0,00",0,"0,00",16,12
10901,COL. SAINT MARGARETH ROSE GARDEN,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,1,"0,04",0,"0,00",0,"0,00",0,"0,00",8,"0,31",4,"0,33",13,"0,50",7,"0,58",4,"0,15",1,"0,08",0,"0,00",0,"0,00",26,12
12504,COLEGIO LITTLE COLLEGE,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,1,"0,03",0,"0,00",2,"0,06",5,"0,11",12,"0,39",27,"0,59",10,"0,32",9,"0,20",6,"0,19",5,"0,11",1,"0,03",0,"0,00",31,46
12509,LICEO PDTE. ANIBAL PINTO GARMENDIA.,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",1,"0,03",2,"0,07",1,"0,03",13,"0,48",27,"0,75",11,"0,41",7,"0,19",1,"0,04",0,"0,00",0,"0,00",0,"0,00",27,36
12515,COLEGIO NUSTA KORI,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",2,"0,18",0,"0,00",5,"0,45",6,"0,55",1,"0,09",2,"0,18",3,"0,27",3,"0,27",3,"0,27",0,"0,00",11,11
12518,COLEGIO DIOCESANO OBISPO LABBE,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,1,"0,02",2,"0,05",4,"0,09",0,"0,00",26,"0,59",27,"0,64",9,"0,20",7,"0,17",4,"0,09",6,"0,14",2,"0,05",1,"0,02",44,42
12573,COLEGIO MARIA REINA,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,1,"0,03",1,"0,03",2,"0,07",1,"0,03",10,"0,34",24,"0,62",12,"0,41",9,"0,23",4,"0,14",4,"0,10",3,"0,10",1,"0,03",29,39
12590,COLEGIO HISPANO ITALIANA,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",0,"0,00",0,"0,00",5,"0,42",14,"0,70",2,"0,17",6,"0,30",5,"0,42",0,"0,00",0,"0,00",0,"0,00",12,20
12591,LICEO SAMCA ARUMANTI,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",2,"0,04",4,"0,08",21,"0,46",25,"0,51",14,"0,30",12,"0,24",9,"0,20",8,"0,16",1,"0,02",0,"0,00",46,49
12594,COLEGIO ANTAMARA,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,1,"0,05",0,"0,00",1,"0,05",1,"0,07",11,"0,55",7,"0,47",4,"0,20",5,"0,33",3,"0,15",2,"0,13",1,"0,05",0,"0,00",20,15
12604,ESCUELA BASICA CORONA SCHOOL,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,3,"0,09",0,"0,00",2,"0,06",2,"0,06",13,"0,41",22,"0,65",5,"0,16",5,"0,15",9,"0,28",5,"0,15",0,"0,00",0,"0,00",32,34
12631,COLEGIO INGLES,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,01",24,"0,28",43,"0,51",47,"0,55",39,"0,46",14,"0,16",2,"0,02",1,"0,01",0,"0,00",85,85
12667,COLEGIO HUMBERSTONE,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,1,"0,02",1,"0,02",2,"0,03",6,"0,10",31,"0,50",31,"0,49",21,"0,34",19,"0,30",7,"0,11",6,"0,10",1,"0,02",1,"0,02",62,63
12669,COLEGIO HISPANO BRITANICO IQUIQUE,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",6,"0,12",2,"0,04",27,"0,53",33,"0,67",13,"0,25",14,"0,29",5,"0,10",0,"0,00",2,"0,04",0,"0,00",51,49
12672,COLEGIO SALESIANO DE IQUIQUE,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,2,"0,04",0,0,2,"0,04",0,0,21,"0,45",0,0,15,"0,32",0,0,7,"0,15",0,0,1,"0,02",0,0,47,0
12683,LICEO COLEGIO DEPORTIVO,MUNICIPAL,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",2,"0,07",0,"0,00",20,"0,71",2,"0,25",5,"0,18",4,"0,50",1,"0,04",2,"0,25",0,"0,00",2,"0,25",28,8
12735,COLEGIO UNIVERSITARIO UNAP,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,03",18,"0,58",12,"0,40",9,"0,29",9,"0,30",4,"0,13",8,"0,27",2,"0,06",0,"0,00",31,30
12741,COLEGIO LATIONOAMERICANO  LAS PARINAS,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,08",5,"0,42",4,"0,31",4,"0,33",4,"0,31",3,"0,25",4,"0,31",0,"0,00",0,"0,00",12,13
12762,IQRA ARABIAN BRITISH SCHOOL,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,RURAL,0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"0,10",5,"0,50",3,"0,30",3,"0,30",6,"0,60",2,"0,20",0,"0,00",0,"0,00",10,10
40295,COLEGIO MAHATMA GANDHI,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",1,"0,03",0,"0,00",17,"0,49",17,"0,57",13,"0,37",8,"0,27",4,"0,11",5,"0,17",1,"0,03",3,"0,10",35,30
40320,COLEGIO ACADEMIA TARAPACA ORELLA,PARTICULAR SUBVENCIONADO,Tarapacá,IQUIQUE,URBANO,0,"0,00",0,"0,00",3,"0,05",1,"0,02",24,"0,42",25,"0,46",18,"0,32",20,"0,37",12,"0,21",8,"0,15",2,"0,04",2,"0,04",57,54
10917,LICEO S.S JUAN PABLO SEGUNDO,MUNICIPAL,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",0,"0,00",1,"0,01",0,"0,00",37,"0,44",25,"0,57",29,"0,35",12,"0,27",17,"0,20",7,"0,16",0,"0,00",2,"0,05",84,44
12534,LICEO COLEGIO METODISTA ROBERT JOHNSON,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,RURAL,0,"0,00",0,"0,00",3,"0,03",1,"0,01",48,"0,47",44,"0,44",35,"0,34",41,"0,41",16,"0,16",13,"0,13",7,"0,07",6,"0,06",102,99
12566,COLEGIO METODISTA WILLIAM TAYLOR,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,RURAL,0,"0,00",0,"0,00",2,"0,02",2,"0,03",34,"0,42",28,"0,39",19,"0,23",15,"0,21",26,"0,32",26,"0,37",3,"0,04",4,"0,06",81,71
12602,ESC. BASICA Y PARV. KRONOS SCHOOL,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,5,"0,14",9,"0,23",9,"0,25",8,"0,21",21,"0,58",21,"0,54",0,"0,00",0,"0,00",1,"0,03",1,"0,03",1,"0,03",0,"0,00",36,39
12603,LICEO LOS CONDORES,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,01",18,"0,49",41,"0,55",9,"0,24",22,"0,30",10,"0,27",10,"0,14",0,"0,00",1,"0,01",37,74
12605,ACADEMIA IQUIQUE HOSPICIO,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",0,"0,00",1,"0,05",0,"0,00",10,"0,45",16,"0,55",7,"0,32",9,"0,31",4,"0,18",4,"0,14",0,"0,00",1,"0,03",22,29
12649,LICEO SUPERIOR DIEGO PORTALES,PARTICULAR SUBVENCIONADO,Tarapacá,ALTO HOSPICIO,URBANO,0,"0,00",0,"0,00",0,"0,00",1,"0,02",28,"0,64",44,"0,80",16,"0,36",10,"0,18",0,"0,00",0,"0,00",1,"0,02",1,"0,02",44,55
