Código Establecimiento,Nombre Establecimiento,Dependencia Establecimiento,Nombre Región,Nombre Comuna,Área Geográfica,Niños con Desnutrición,Prevalencia Desnutrición Niños,Niñas con Desnutrición,Prevalencia Desnutrición Niñas,Niños con Bajo Peso,Prevalencia Bajo Peso Niños,Niñas con Bajo Peso,Prevalencia Bajo Peso Niñas,Niños con Peso Normal,Prevalencia Peso Normal Niños,Niñas con Peso Normal,Prevalencia Peso Normal Niñas,Niños con Sobrepeso,Prevalencia Sobrepeso Niños,Niñas con Sobrepeso,Prevalencia Sobrepeso Niñas,Niños con Obesidad,Prevalencia Obesidad Niños,Niñas con Obesidad,Prevalencia Obesidad Niñas,Niños con Retraso en talla,Prevalencia Retraso en talla Niños,Niñas con Retraso en talla,Prevalencia Retraso en talla Niñas,Total Niños,Total Niñas
97,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,Municipal,Región de Tarapacá,Iquique,URBANO,1,"2,1",1,"1,7",2,"4,3",3,"5,0",21,"44,7",31,"51,7",13,"27,7",19,"31,7",10,"21,3",6,"10,0",3,"6,4",6,"10,0",47,60
103,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,Municipal,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",3,"15,8",1,"7,7",6,"31,6",8,"61,5",6,"31,6",4,"30,8",4,"21,1",0,"0,0",0,"0,0",0,"0,0",19,13
106,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,Subvencionado,Región de Tarapacá,Iquique,URBANO,2,"6,5",0,"0,0",1,"3,2",0,"0,0",14,"45,2",5,"38,5",12,"38,7",8,"61,5",2,"6,5",0,"0,0",3,"9,7",0,"0,0",31,13
107,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,Municipal,Región de Tarapacá,Iquique,URBANO,2,"2,9",0,"0,0",8,"11,6",4,"6,3",36,"52,2",31,"48,4",13,"18,8",20,"31,3",10,"14,5",9,"14,1",3,"4,3",6,"9,4",69,64
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,Municipal,Región de Tarapacá,Iquique,URBANO,2,"4,3",1,"1,9",6,"13,0",4,"7,4",23,"50,0",29,"53,7",8,"17,4",13,"24,1",7,"15,2",7,"13,0",4,"8,7",2,"3,7",46,54
109,LICEO ELENA DUVAUCHELLE CABEZON,Municipal,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",2,"7,4",0,"0,0",13,"48,1",14,"63,6",4,"14,8",6,"27,3",8,"29,6",2,"9,1",2,"7,4",4,"18,2",27,22
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,Municipal,Región de Tarapacá,Iquique,URBANO,2,"6,9",0,"0,0",0,"0,0",2,"5,4",16,"55,2",14,"37,8",10,"34,5",17,"45,9",1,"3,4",4,"10,8",0,"0,0",4,"10,8",29,37
124,LICEO LUIS CRUZ MARTINEZ,Municipal,Región de Tarapacá,Iquique,URBANO,4,"2,6",0,"0,0",4,"2,6",4,"2,9",56,"36,1",63,"45,0",47,"30,3",40,"28,6",44,"28,4",33,"23,6",18,"11,6",10,"7,1",155,140
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,Municipal,Región de Tarapacá,Iquique,URBANO,3,"7,3",1,"3,0",2,"4,9",3,"9,1",21,"51,2",23,"69,7",11,"26,8",3,"9,1",4,"9,8",3,"9,1",1,"2,4",1,"3,0",41,33
127,LICEO MARIA AUXILIADORA,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",0,"0,0",3,"3,6",0,"0,0",48,"57,8",0,"0,0",22,"26,5",0,"0,0",10,"12,0",0,"0,0",1,"1,2",0,83
129,LICEO SUPERIOR GABRIELA MISTRAL,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",1,"9,1",1,"11,1",7,"63,6",2,"22,2",2,"18,2",4,"44,4",1,"9,1",2,"22,2",0,"0,0",1,"11,1",11,9
130,COLEGIO NORTH COLLEGE,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",1,"5,6",1,"7,7",9,"50,0",10,"76,9",5,"27,8",2,"15,4",3,"16,7",0,"0,0",0,"0,0",0,"0,0",18,13
131,LICEO PARTICULAR MIXTO ESCASCE,Subvencionado,Región de Tarapacá,Iquique,URBANO,2,"9,5",1,"6,3",3,"14,3",2,"12,5",8,"38,1",8,"50,0",5,"23,8",2,"12,5",3,"14,3",3,"18,8",1,"4,8",0,"0,0",21,16
132,LICEO ACADEMIA IQUIQUE,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",7,"8,8",6,"5,0",53,"66,3",75,"62,5",13,"16,3",28,"23,3",7,"8,8",11,"9,2",2,"2,5",2,"1,7",80,120
133,COLEGIO ADVENTISTA DE IQUIQUE,Subvencionado,Región de Tarapacá,Iquique,URBANO,1,"5,0",0,"0,0",3,"15,0",1,"4,5",4,"20,0",7,"31,8",5,"25,0",9,"40,9",7,"35,0",5,"22,7",1,"5,0",1,"4,5",20,22
134,LICEO ATENEA,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",1,"5,9",1,"5,9",0,"0,0",11,"64,7",12,"70,6",5,"29,4",3,"17,6",0,"0,0",1,"5,9",0,"0,0",0,"0,0",17,17
144,COLEGIO IQUIQUE YOUNG SCHOOL,Subvencionado,Región de Tarapacá,Iquique,URBANO,3,"23,1",0,"0,0",1,"7,7",1,"5,3",5,"38,5",7,"36,8",3,"23,1",6,"31,6",1,"7,7",5,"26,3",1,"7,7",2,"10,5",13,19
10901,COLEGIO SAN MARTÍN,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",0,"0,0",2,"11,1",12,"52,2",10,"55,6",8,"34,8",4,"22,2",3,"13,0",2,"11,1",0,"0,0",0,"0,0",23,18
12504,COLEGIO LITTLE COLLEGE,Subvencionado,Región de Tarapacá,Iquique,URBANO,3,"12,5",0,"0,0",4,"16,7",0,"0,0",12,"50,0",25,"62,5",2,"8,3",13,"32,5",3,"12,5",2,"5,0",0,"0,0",0,"0,0",24,40
