idrbd,nom_rbd,cod_reg_rbd,cod_pro_rbd,cod_com_rbd,nom_com_rbd,cod_deprov_rbd,nom_deprov_rbd,rural_rbd,efectivr,superar,iniciar,mejorar,integrar,igualdr,cluster,indicer,sel2016_25,sel2016_35,sel
1,LICEO POLITECNICO ARICA,15,151,15101,ARICA,151,ARICA,1,41.494973,51.521082,87.836364,92.345679,76.083333,92.95315600000001,1532,61.149999,2,2,3
2,PARVULARIO LAS ESPIGUITAS,15,151,15101,ARICA,151,ARICA,1,56.500516,49.402534,91.75454499999999,92.59259299999999,70.7,96.895561,1512,66.94704900000001,2,2,3
3,ESC. PEDRO VICENTE GUTIERREZ TORRES,15,151,15101,ARICA,151,ARICA,2,47.259024,49.135619,0,92.59259299999999,0,95.273599,1521,54.055856,2,2,3
4,LICEO OCTAVIO PALMA PEREZ,15,151,15101,ARICA,151,ARICA,1,67.42762500000001,44.229581,100,92.59259299999999,96.666667,97.728461,1532,71.51795,2,2,3
5,JOVINA NARANJO FERNANDEZ,15,151,15101,ARICA,151,ARICA,1,70.269825,53.751541,93.25,74.074074,62.5,96.676192,1532,72.520511,2,1,2
7,L. POLI. ANTONIO VARAS DE LA BARRA,15,151,15101,ARICA,151,ARICA,1,42.548592,45.773217,89.663636,92.59259299999999,67.583333,94.23423800000001,1532,59.901849,2,2,3
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,15,151,15101,ARICA,151,ARICA,1,47.023082,40.716694,0,81.481481,0,93.130816,1532,50.917624,2,2,3
9,ESCUELA REPUBLICA DE ISRAEL,15,151,15101,ARICA,151,ARICA,1,61.990397,43.914076,98.09999999999999,92.59259299999999,100,97.788783,1511,69.483772,2,1,2
10,ESCUELA REPUBLICA DE FRANCIA,15,151,15101,ARICA,151,ARICA,1,47.11606,40.798356,0,81.481481,0,95.714321,1512,51.543262,2,2,3
11,ESC. GRAL. PEDRO LAGOS MARCHANT,15,151,15101,ARICA,151,ARICA,1,64.64628399999999,64.13479700000001,93.7,91.64292500000001,93.5,96.149514,1512,75.15962,1,2,1
12,ESCUELA GRAL JOSE MIGUEL CARRERA,15,151,15101,ARICA,151,ARICA,1,67.81993799999999,49.540262,100,92.433294,87.5,97.090678,1512,72.548265,1,2,1
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,15,151,15101,ARICA,151,ARICA,1,53.640304,54.03628,85.34999999999999,81.481481,74.5,97.479494,1512,66.898189,2,2,3
14,ESCUELA ROMULO J. PENA MATURANA,15,151,15101,ARICA,151,ARICA,1,51.445899,50.874594,92.05,100,73.5,95.483255,1512,65.484185,2,2,3
15,LICEO ARTISTICO DR. JUAN NOE CREVANI,15,151,15101,ARICA,151,ARICA,1,43.875739,42.914765,95.7,74.074074,82.5,92.862855,1532,60.028467,2,2,3
16,ESCUELA REGIMIENTO RANCAGUA,15,151,15101,ARICA,151,ARICA,1,49.703102,51.134376,92.25,100,70,94.585382,1512,64.551557,2,2,3
17,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,15,151,15101,ARICA,151,ARICA,1,58.190534,47.436163,97.84999999999999,100,73.5,96.813844,1512,67.657669,2,2,3
18,ESC. COMTE. JUAN JOSE SAN MARTIN,15,151,15101,ARICA,151,ARICA,1,50.655445,46.184752,0,92.59259299999999,0,96.416405,1512,54.737706,2,2,3
19,ESC. HUMBERTO VALENZUELA GARCIA,15,151,15101,ARICA,151,ARICA,1,57.749445,52.703272,96.7,74.074074,82.666667,97.331441,1512,68.953943,2,1,2
20,ESCUELA TUCAPEL,15,151,15101,ARICA,151,ARICA,1,59.551259,51.509122,83.48,100,60.833333,96.549437,1512,67.747863,2,2,3
22,ESCUELA GABRIELA MISTRAL,15,151,15101,ARICA,151,ARICA,1,55.132544,53.882701,92.84999999999999,99.925178,54.833333,96.624011,1512,67.05465,2,2,3
25,ESCUELA CENTENARIO,15,151,15101,ARICA,151,ARICA,1,51.119221,32.049861,0,99.46323099999999,0,95.457886,1532,50.878073,2,2,3
26,ESCUELA REPUBLICA DE ARGENTINA,15,151,15101,ARICA,151,ARICA,1,64.00381299999999,64.846863,92.12000000000001,92.59259299999999,76.166667,96.222737,1512,74.19492,1,2,1
27,ESCUELA ESMERALDA,15,151,15101,ARICA,151,ARICA,1,48.228418,49.886358,0,92.59259299999999,0,95.821057,1512,54.745179,2,2,3
28,ESCUELA RICARDO SILVA ARRIAGADA,15,151,15101,ARICA,151,ARICA,1,70.036822,44.875256,100,100,96.166667,97.575442,1512,72.753626,1,2,1
29,ESCUELA AMERICA,15,151,15101,ARICA,151,ARICA,1,53.198215,49.070104,97,92.48523900000001,72.916667,95.669473,1512,65.785791,2,2,3
30,ESCUELA DR. RICARDO OLEA GUERRA,15,151,15101,ARICA,151,ARICA,1,,,85.5,92.59259299999999,91.25,98.09200300000001,1551,94.641693,2,1,2
31,ESCUELA DARIO SALAS DIAZ,15,151,15101,ARICA,151,ARICA,2,64.58371099999999,51.178201,94.65000000000001,92.59259299999999,81,97.527266,1521,71.26272,1,2,1
32,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,15,151,15101,ARICA,151,ARICA,2,53.144139,45.063659,94.454545,92.59259299999999,83.5,96.029763,1541,65.101828,1,2,1
33,ESCUELA CARLOS CONDELL DE LA HAZA,15,151,15101,ARICA,151,ARICA,2,62.021412,60.171839,91.63,92.59259299999999,56.583333,97.36361599999999,1521,71.394852,1,2,1
35,ESCUELA GRAL. MANUEL BAQUEDANO,15,151,15101,ARICA,151,ARICA,2,57.873802,49.167961,68.11111099999999,92.59259299999999,56.3,96.18620199999999,1521,65.094819,2,2,3
