comunadondeseimpartelacarreraopr,nombreregion,duraciónensemestres,puntaje,pnem,prank,ingreso2,valordearancel,ingreso,area,year
Los Ángeles,Región del Bío-Bío,8,560,588,629,41,2.166.000,195,Business,2018
Antofagasta,Región de Antofagasta,10,538,,,15,2.289.000,129,Business,2011
Punta Arenas,Región de Magallanes,10,590,602,662,6,3.760.000,36,Business,2018
Temuco,Región de La Araucanía,9,488,513,530,29,2.185.590,68,Business,2017
San Joaquín,Región Metropolitana,10,594,585,604,26,1.776.300,72,Business,2014
Santiago,Región Metropolitana,8,557,523,534,62,4.352.454,242,Business,2017
Valparaíso,Región de Valparaíso,10,609,595,617,85,2.255.000,348,Business,2018
Antofagasta,Región de Antofagasta,10,514,495,504,25,2.863.000,86,Business,2017
Providencia,Región Metropolitana,10,526,,,3,1.890.000,38,Business,2010
Valdivia,Región de los Ríos,10,579,,,114,2.756.000,475,Business,2012
Temuco,Región de La Araucanía,10,517,,,17,1.813.000,76,Business,2006
Punta Arenas,Región de Magallanes,10,586,,,24,2.147.000,132,Business,2006
Concepción,Región del Bío-Bío,10,622,,,104,3.250.000,445,Business,2010
Santiago,Región Metropolitana,10,552,530,545,28,2.122.000,224,Business,2014
Viña del Mar,Región de Valparaíso,,438,,,10,880.000,79,Business,2010
Macul,Región Metropolitana,10,750,,,235,3.740.000,1447,Business,2008
Iquique,Región de Tarapacá,10,520,,,11,2.498.900,93,Business,2018
Rancagua,Región del Gral. B. O`Higgins,4,467,356,361,1,1.395.000,52,Business,2015
Santiago,Región Metropolitana,9,638,,,59,2.119.900,269,Business,2008
Temuco,Región de La Araucanía,9,504,482,501,21,1.969.000,37,Business,2016
Valdivia,Región de los Ríos,10,528,482,493,24,3.747.000,125,Business,2017
Valparaíso,Región de Valparaíso,10,554,569,585,20,2.036.000,93,Business,2013
Viña del Mar,Región de Valparaíso,10,540,,,18,2.900.000,56,Business,2018
Viña del Mar,Región de Valparaíso,8,497,,,18,2.252.590,75,Business,2018
Santiago,Región Metropolitana,8,525,,,11,1.718.700,159,Business,2014
Santiago,Región Metropolitana,10,538,516,530,65,3.876.000,454,Business,2017
La Serena,Región de Coquimbo,8,546,562,589,51,1.818.000,226,Business,2014
Concepción,Región del Bío-Bío,10,514,509,503,54,2.950.000,54,Business,2018
Concepción,Región del Bío-Bío,10,535,524,534,38,3.610.000,182,Business,2019
Viña del Mar,Región de Valparaíso,10,548,524,534,236,3.355.724,802,Business,2014
Las Condes,Región Metropolitana,8,598,588,610,10,4.682.613,59,Business,2018
Santiago,Región Metropolitana,10,582,557,573,96,2.395.000,274,Business,2014
Antofagasta,Región de Antofagasta,10,510,,,41,2.986.700,140,Business,2018
Las Condes,Región Metropolitana,9,541,,,121,3.685.000,836,Business,2012
Las Condes,Región Metropolitana,6,554,539,,6,2.990.000,95,Business,2016
Santiago,Región Metropolitana,8,511,,,17,1.590.000,136,Business,2006
Concepción,Región del Bío-Bío,8,572,,,82,1.489.000,346,Business,2008
Santiago,Región Metropolitana,10,539,,,27,2.525.000,216,Business,2011
Las Condes,Región Metropolitana,12,693,,,2,3.335.852,12,Business,2008
Talca,Región del Maule,10,528,,,68,1.911.000,331,Business,2011
Las Condes,Región Metropolitana,8,583,545,559,14,4.066.414,24,Business,2014
Santiago,Región Metropolitana,8,561,,,56,3.318.182,426,Business,2011
Temuco,Región de La Araucanía,4,516,455,455,1,870.000,14,Business,2013
Puerto Montt,Región de Los Lagos,10,518,,,23,1.446.000,147,Business,2007
Valparaíso,Región de Valparaíso,9,573,550,564,41,2.752.100,171,Business,2016
Temuco,Región de La Araucanía,10,514,,,6,1.930.500,55,Business,2009
Temuco,Región de La Araucanía,10,480,,,17,2.641.467,89,Business,2015
Santiago,Región Metropolitana,8,513,,,19,1.700.000,136,Business,2013
Santiago,Región Metropolitana,9,627,622,671,51,3.435.000,248,Business,2017
Santiago,Región Metropolitana,10,557,,,67,2.537.000,79,Business,2008
Puerto Montt,Región de Los Lagos,10,575,579,615,64,3.570.000,327,Business,2019
Santiago,Región Metropolitana,8,513,,,3,1.524.000,44,Business,2007
Recoleta,Región Metropolitana,8,558,536,546,107,5.181.600,407,Business,2018
Puerto Montt,Región de Los Lagos,8,537,517,523,18,5.181.600,72,Business,2018
Concepción,Región del Bío-Bío,10,574,521,528,48,2.837.700,187,Business,2018
Santiago,Región Metropolitana,8,626,,,5,1.226.000,54,Business,2007
Concepción,Región del Bío-Bío,8,554,559,579,55,2.070.000,185,Business,2016
Lo Barnechea,Región Metropolitana,8,582,564,569,72,5.940.229,391,Business,2018
Providencia,Región Metropolitana,10,579,,,23,1.966.660,123,Business,2010
Quillota,Región de Valparaíso,,495,,,12,649.000,66,Business,2012
Providencia,Región Metropolitana,9,544,557,585,33,2.927.675,91,Business,2019
Temuco,Región de La Araucanía,10,546,,,99,2.309.000,254,Business,2011
Santiago,Región Metropolitana,10,482,494,514,25,2.712.000,123,Business,2018
Providencia,Región Metropolitana,10,618,,,62,1.563.581,398,Business,2006
Las Condes,Región Metropolitana,2,620,596,598,89,4.302.602,98,Business,2015
Santiago,Región Metropolitana,11,692,676,752,103,2.904.400,606,Business,2015
Providencia,Región Metropolitana,10,564,574,594,134,3.024.100,606,Business,2018
Concepción,Región del Bío-Bío,8,550,592,615,17,2.053.846,39,Business,2013
Las Condes,Región Metropolitana,2,615,575,578,54,4.517.109,61,Business,2016
Concepción,Región del Bío-Bío,10,608,627,658,90,2.747.000,526,Business,2017
Providencia,Región Metropolitana,8,522,509,526,16,2.986.000,243,Business,2018
Providencia,Región Metropolitana,8,523,509,524,63,3.015.000,326,Business,2018
Concepción,Región del Bío-Bío,8,541,528,552,4,2.450.000,68,Business,2018
Providencia,Región Metropolitana,10,538,533,553,24,4.195.000,342,Business,2018
Providencia,Región Metropolitana,10,610,,,64,1.459.343,412,Business,2006
Santiago,Región Metropolitana,9,565,529,539,179,3.735.372,614,Business,2014
Providencia,Región Metropolitana,6,560,465,554,4,2.740.000,56,Business,2014
Peñalolén,Región Metropolitana,10,673,648,660,466,5.886.714,3169,Business,2018
Valparaíso,Región de Valparaíso,10,659,,,126,3.119.000,593,Business,2011
Santiago,Región Metropolitana,10,535,,,48,2.010.000,321,Business,2011
Las Condes,Región Metropolitana,8,530,523,539,35,4.368.260,169,Business,2017
Providencia,Región Metropolitana,10,541,,,61,2.790.000,148,Business,2012
Valparaíso,Región de Valparaíso,8,543,,,72,2.251.000,397,Business,2012
Santiago,Región Metropolitana,9,564,,,8,2.080.000,102,Business,2012
Santiago,Región Metropolitana,8,535,,,1,1.770.000,40,Business,2009
Antofagasta,Región de Antofagasta,10,488,462,465,24,2.774.000,72,Business,2016
Santiago,Región Metropolitana,10,719,704,736,365,4.959.100,2334,Business,2017
Santiago,Región Metropolitana,10,710,,,223,2.639.000,1244,Business,2006
Providencia,Región Metropolitana,9,560,,,68,1.641.160,407,Business,2008
Santiago,Región Metropolitana,8,541,,,40,1.937.810,153,Business,2009
Osorno,Región de Los Lagos,10,553,560,603,35,2.156.000,182,Business,2013
Providencia,Región Metropolitana,8,540,564,591,17,2.389.000,47,Business,2016
La Serena,Región de Coquimbo,10,585,584,612,68,2.811.000,350,Business,2017
Las Condes,Región Metropolitana,8,544,531,544,79,3.044.000,289,Business,2018
Viña del Mar,Región de Valparaíso,6,395,,,17,778.000,171,Business,2007
Santiago,Región Metropolitana,10,557,524,539,74,4.346.100,399,Business,2017
Santiago,Región Metropolitana,10,691,,,122,2.713.000,561,Business,2008
Santiago,Región Metropolitana,8,470,,,1,1.923.600,31,Business,2011
Providencia,Región Metropolitana,8,501,,,5,1.242.000,24,Business,2012
Valdivia,Región de los Ríos,10,612,626,659,93,3.570.000,504,Business,2019
Chillán,Región de Ñuble,10,637,670,716,58,2.661.700,315,Business,2016
Temuco,Región de La Araucanía,5,489,,,7,1.054.620,111,Business,2009
Providencia,Región Metropolitana,10,566,,,10,2.550.000,188,Business,2011
Santiago,Región Metropolitana,9,548,506,512,88,4.722.560,680,Business,2018
Curicó,Región del Maule,9,580,623,645,27,2.344.000,217,Business,2019
Santiago,Región Metropolitana,10,544,,,55,2.530.000,334,Business,2007
Santiago,Región Metropolitana,10,672,658,703,81,4.229.100,227,Business,2016
Viña del Mar,Región de Valparaíso,8,558,560,574,24,2.784.575,98,Business,2017
Providencia,Región Metropolitana,10,517,521,542,123,3.790.000,293,Business,2017
Iquique,Región de Tarapacá,10,557,565,587,44,2.160.293,230,Business,2016
Santiago,Región Metropolitana,10,675,673,715,161,4.813.500,689,Business,2019
Valparaíso,Región de Valparaíso,10,668,,,64,3.400.000,356,Business,2011
Santiago,Región Metropolitana,5,486,,,5,1.020.000,139,Business,2009
Santiago,Región Metropolitana,8,490,,,2,1.537.000,6,Business,2009
Santiago,Región Metropolitana,10,498,,,5,1.578.000,21,Business,2006
Puerto Montt,Región de Los Lagos,10,515,,,9,1.740.000,10,Business,2009
Santiago,Región Metropolitana,10,650,,,22,1.600.000,61,Business,2010
Antofagasta,Región de Antofagasta,10,532,,,20,2.268.000,114,Business,2012
Providencia,Región Metropolitana,10,502,517,527,55,3.050.000,88,Business,2017
La Serena,Región de Coquimbo,8,562,,,55,1.160.000,282,Business,2006
Valparaíso,Región de Valparaíso,9,530,523,537,47,2.494.000,164,Business,2014
Concepción,Región del Bío-Bío,5,475,,,7,633.000,40,Business,2006
Santiago,Región Metropolitana,8,582,537,549,77,3.527.000,384,Business,2013
Santiago,Región Metropolitana,10,576,,,18,1.450.000,22,Business,2007
Providencia,Región Metropolitana,,513,,,21,1.102.000,256,Business,2010
Chillán,Región de Ñuble,10,642,675,724,55,2.556.900,323,Business,2015
Temuco,Región de La Araucanía,9,535,498,506,43,3.056.128,233,Business,2015
