year,idrbd,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
2017,97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2021983585,-7015323392,1,410,810,0,0,0,0,0,0,0,1,1,1,,$1.000 A $10.000,GRATUITO
2017,98,1,CENTRO DE DIAGNOSTICO,,,9,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,100,7,ESCUELA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,101,5,HOGAR ESTUDIANTIL,,,9,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2017,102,3,ESC.EDUC.ESPECIAL FLOR DEL INCA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-20240973,-7013935,0,212,215,216,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2022109594,-7013817004,1,110,310,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,105,8,CENTRO DE CAPACITACION LABORAL,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-20241722,-70136505,0,212,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,,71142500,1,1,11,1101,IQUIQUE,11,IQUIQUE,5,4,0,-2029401349,-7012724452,0,110,310,510,810,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2017,107,4,LICEO LIBERT. GRAL.BERNARDO O�HIGGINS,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2021974441,-7015238682,1,110,310,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2022579486,-7014872946,1,510,610,0,0,0,0,0,0,0,1,1,7,LAICO,$1.000 A $10.000,GRATUITO
2017,109,0,LICEO ELENA DUVAUCHELLE CABEZON,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2021695112,-7015337963,1,310,410,510,610,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2017,110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,-2022471195,-7013544477,1,10,110,310,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
